name,stop,synonymous,nonsynonymous
mut-virus-rep3d,3.033979851191966e-05,0.0002812055795339418,0.0011549853487538145
mut-virus-rep2d,3.1795345103389214e-05,0.00028129708682335017,0.0012088957077675156
mut-virus-rep2d-118-4ug,3.0884808513658365e-05,0.0002856668504359782,0.0012178345384461042
mut-virus-rep2d-118-8ug,2.1063894347646276e-05,0.00028883929816760166,0.001298974654131631
mut-virus-rep3d-118-4ug,2.7656248392260967e-05,0.00028696913032308537,0.001174947186687791
mut-virus-rep3d-118-8ug,4.6021875654083e-05,0.0002783974826498885,0.0013544881071609303
mut-virus-rep3,3.717751536199181e-05,0.00029791547548490915,0.0012242508880563896
mut-virus-rep2b-3BNC117-4ug,3.2575854342951845e-05,0.000294919934093142,0.0012080982529541198
mut-virus-rep1-VRC01-11ug,3.8445919164590065e-05,0.0003256695920893914,0.001267334841897763
mut-virus-rep3-3BNC117-1-1ug,3.795346648009042e-05,0.0003074827393187495,0.0012150845891899808
mut-virus-rep3-VRC01-tr2-11ug,3.910269250457539e-05,0.00029765983054358565,0.0012869100141584618
mut-virus-rep2,3.561248119517107e-05,0.0002960299550134056,0.0012208650750821536
wt-DNA-rep2,1.0993784720186825e-05,5.040697276191643e-05,0.0001374411017967288
mut-DNA-rep2,0.0001621128776857997,0.00020944483939498793,0.0018211399418570293
mut-virus-rep2b,3.212834180385958e-05,0.0002891948636549267,0.0012305751722181076
mut-DNA-rep3,0.00017003151853426326,0.0002168636818619554,0.0017980767158595325
mut-virus-rep2-VRC01-8ug,3.47998610399652e-05,0.0002993105633286442,0.0012448676159663228
wt-DNA-rep3,9.54712990005321e-06,5.0117449130863876e-05,0.00013439727957423547
mut-virus-rep2-VRC01-11ug,4.100159577239975e-05,0.0003266779559255092,0.001354279607288037
mut-virus-rep3-VRC01-11ug,4.2820607665012025e-05,0.00031638372551697223,0.001328522634633197
wt-DNA-rep1,1.0133976079658096e-05,4.9440909144097354e-05,0.0001367462211591876
mut-virus-rep2b-3BNC117-3ug,3.273652948566429e-05,0.0002902314634791105,0.0011823018919634625
mut-virus-rep1,3.495620022951309e-05,0.0003068165585878027,0.001287804997824155
mut-DNA-rep1,0.00018843343467779352,0.0002096533924123836,0.0018060955961300886
mut-virus-rep3b-3BNC117-4ug,3.497395617343957e-05,0.00029737426513310356,0.001262166967785514
mut-virus-rep1b-3BNC117-4ug,2.616880414400828e-05,0.00030614224628878545,0.001254157343518281
mut-virus-rep1b,3.263713215775761e-05,0.0003043592099920566,0.0012103290675854188
mut-virus-rep3b,3.2752018789322055e-05,0.00030350584804856505,0.0012094975029369737
